fio,admission_year,study_form,ct_score,certificate_score,total_score,specialty,address,phone
София Викторовна Игнатьева,2022,Целевая,61,6.6,127.0,Психология,"к. Углич, пер. Рябиновый, д. 616, 331629",8 (959) 209-5783
Фролов Ипполит Гертрудович,2022,Бюджет,54,6.4,118.0,Строительство,"г. Усть-Катав, пер. Победы, д. 374 к. 469, 562803",+7 847 578 08 34
Суханов Арефий Валерьевич,2021,Платная,71,9.9,170.0,Лингвистика,"ст. Аргаяш, бул. Леонова, д. 9 стр. 57, 206370",8 622 760 97 79
Устин Григорьевич Давыдов,2024,Целевая,59,7.9,138.0,Дизайн,"клх Сковородино, ш. Заречное, д. 6 стр. 95, 931634",89944732907
Эммануил Харитонович Баранов,2021,Платная,64,7.4,138.0,Лингвистика,"ст. Ноглики, наб. Тюленина, д. 1 стр. 8/8, 745186",8 (129) 039-49-74
Пелагея Никифоровна Казакова,2023,Бюджет,55,8.7,142.0,Менеджмент,"к. Агинское (Забайк.), ул. Шоссейная, д. 957, 806555",8 (515) 667-03-23
Зиновьева Полина Ниловна,2021,Целевая,33,7.0,103.0,Экономика,"клх Северобайкальск, алл. Кирпичная, д. 2 к. 67, 968644",+7 (998) 699-2453
тов. Никифоров Савелий Демьянович,2025,Бюджет,50,9.7,147.0,Медицина,"д. Пушкин, ул. Волкова, д. 66 к. 2/5, 508009",+7 272 014 2824
Олег Филатович Потапов,2024,Бюджет,61,7.5,136.0,Медицина,"клх Соловки, пер. Победы, д. 207, 427489",8 (835) 383-44-92
Галина Святославовна Боброва,2024,Целевая,58,6.6,124.0,Строительство,"ст. Нефедова, пр. Центральный, д. 7/3, 548382",+7 (301) 520-38-82
Рожков Панфил Глебович,2021,Платная,44,6.8,112.0,Экономика,"с. Ирбит, пр. Прудовой, д. 2 к. 8, 136050",8 279 680 6711
Чернов Фирс Матвеевич,2022,Платная,51,7.7,128.0,Юриспруденция,"с. Рубцовск, пр. Маркса Карла, д. 717 к. 2, 114436",+70863816276
Юрий Егорович Мишин,2022,Целевая,71,6.4,135.0,Экономика,"ст. Северобайкальск, пер. Харьковский, д. 2/3 стр. 3, 283841",84686766983
Капитон Жоресович Фадеев,2022,Платная,44,8.3,127.0,Дизайн,"к. Валаам, бул. Народный, д. 645 к. 4/8, 700487",+7 (556) 924-7411
Белов Агафон Аксёнович,2023,Целевая,63,10.0,163.0,Экономика,"п. Кулунда, ул. Флотская, д. 8/6, 088093",+7 (464) 820-14-94
г-жа Панова Регина Васильевна,2022,Целевая,35,7.4,109.0,Журналистика,"ст. Рубцовск, пер. Весенний, д. 9, 085955",+7 (398) 001-4163
Кириллов Никандр Герасимович,2023,Бюджет,90,8.9,179.0,Юриспруденция,"г. Красноуральск, пер. Водников, д. 5 стр. 9, 186775",8 934 889 99 84
Дьячкова Галина Мироновна,2022,Целевая,40,7.7,117.0,Информатика и вычислительная техника,"с. Егорьевск, бул. З.Космодемьянской, д. 222, 677918",89968320952
Остромир Елисеевич Горбачев,2024,Целевая,73,7.3,146.0,Информатика и вычислительная техника,"ст. Пушкинские Горы, наб. Проточная, д. 94, 152318",+79018628467
Комиссарова Ирина Валентиновна,2021,Платная,52,6.6,118.0,Информатика и вычислительная техника,"д. Киренск, алл. Окружная, д. 5/5 стр. 3, 934675",82496310205
Ильина Анна Олеговна,2022,Бюджет,66,7.4,140.0,Юриспруденция,"п. Саров (Морд.), ш. Одесское, д. 4 к. 55, 571206",+7 650 087 54 91
Ирина Геннадьевна Маркова,2024,Бюджет,33,8.4,117.0,Медицина,"клх Усть-Катав, наб. Гаражная, д. 4/2 к. 912, 700677",+7 (764) 101-3993
Журавлев Еремей Дорофеевич,2022,Целевая,63,9.2,155.0,Медицина,"клх Урай, ш. Набережное, д. 4 к. 6, 556570",86485329591
Лукия Львовна Мартынова,2023,Целевая,59,8.6,145.0,Дизайн,"с. Хужир, ул. Вишневая, д. 9/6 стр. 73, 372894",8 (523) 898-61-28
Викентий Витальевич Колесников,2024,Бюджет,18,5.8,76.0,Дизайн,"с. Уфа, пер. Медицинский, д. 17 стр. 7, 331556",+7 (740) 881-8632
Филимон Эдгардович Захаров,2024,Целевая,45,7.6,121.0,Информатика и вычислительная техника,"с. Нефедова, алл. Кольцова, д. 70 стр. 156, 186748",8 648 862 2478
Регина Игоревна Белова,2025,Целевая,78,7.5,153.0,Журналистика,"д. Туруханск, пер. Макаренко, д. 994 к. 5/4, 284901",+7 111 790 9779
Баранова Агата Кузьминична,2023,Платная,62,8.2,144.0,Психология,"г. Орск, пр. Центральный, д. 48 к. 986, 118671",+7 (119) 063-54-18
Кондратьева Милица Валентиновна,2022,Платная,47,9.2,139.0,Дизайн,"с. Байкальск, ул. Толстого, д. 1, 154354",8 755 433 23 03
Арефий Эдгарович Гаврилов,2025,Целевая,69,6.1,130.0,Лингвистика,"к. Славгород, ш. 50 лет Победы, д. 299, 833696",83322785889
Иванова Александра Захаровна,2025,Бюджет,36,8.7,123.0,Медицина,"с. Шамары, ш. Дальнее, д. 4/8, 474390",8 907 906 4824
Онуфрий Васильевич Мартынов,2022,Платная,30,5.8,88.0,Лингвистика,"д. Хатанга, пр. Королева, д. 5/9, 495294",+7 545 429 32 19
Лукия Богдановна Тарасова,2022,Бюджет,46,8.5,131.0,Менеджмент,"д. Нефтеюганск, наб. Фабричная, д. 482, 245953",+7 208 094 8911
Владимир Артемьевич Лобанов,2025,Целевая,66,7.1,137.0,Строительство,"п. Поронайск, наб. Папанина, д. 7/9, 109020",+7 880 523 48 24
Семенов Тихон Марсович,2023,Целевая,66,8.8,154.0,Лингвистика,"клх Кош-Агач, наб. Привольная, д. 39 к. 38, 109481",8 (227) 150-2001
Пахом Анатольевич Елисеев,2021,Целевая,36,8.8,124.0,Менеджмент,"к. Тутаев, алл. Союзная, д. 593, 127700",+7 821 455 58 68
Шарапов Радован Матвеевич,2025,Целевая,71,8.4,155.0,Менеджмент,"д. Старая Русса, пр. Вахитова, д. 348 стр. 94, 776507",80591022273
Коновалов Софрон Эдгардович,2023,Бюджет,46,6.6,112.0,Лингвистика,"д. Талдом, алл. Каштановая, д. 7, 219655",8 (198) 346-6125
Агафон Терентьевич Гаврилов,2021,Целевая,35,7.2,107.0,Журналистика,"клх Кизляр, наб. Павлика Морозова, д. 65, 527204",+7 (070) 217-25-52
Александр Трифонович Юдин,2025,Платная,65,6.0,125.0,Информатика и вычислительная техника,"д. Лысьва, наб. Енисейская, д. 307 стр. 7, 780591",8 268 817 98 14
Фортунат Ефремович Голубев,2025,Платная,86,8.8,174.0,Экономика,"п. Шенкурск, бул. Лесный, д. 37, 416410",+7 542 124 4573
Тамара Болеславовна Романова,2024,Бюджет,66,6.5,131.0,Информатика и вычислительная техника,"к. Орск, алл. Труда, д. 15, 224540",8 445 201 54 17
Овчинников Харитон Васильевич,2024,Целевая,37,7.8,115.0,Информатика и вычислительная техника,"г. Кинешма, ш. Черноморское, д. 7/3 стр. 756, 444967",+74184417240
Дементьева Марина Дмитриевна,2021,Платная,46,8.9,135.0,Строительство,"ст. Щелково, бул. Трудовой, д. 62, 422642",8 669 764 22 70
Филимон Жанович Лебедев,2024,Платная,70,6.8,138.0,Дизайн,"с. Орск, алл. Курчатова, д. 5/8, 140381",89672069572
Матвеева Ия Александровна,2022,Платная,62,6.9,131.0,Дизайн,"клх Томари, ул. Гафури, д. 21 стр. 730, 017730",8 694 092 4975
Никифор Владленович Устинов,2021,Целевая,67,7.0,137.0,Медицина,"д. Чикола, пр. Казачий, д. 8/2 стр. 2/6, 776511",+7 (684) 340-82-90
Кузнецова Эмилия Львовна,2021,Целевая,56,7.2,128.0,Юриспруденция,"ст. Внуково (метеост.), наб. Вольная, д. 555, 158902",+7 397 353 99 45
Ольга Кирилловна Гришина,2022,Бюджет,40,5.6,96.0,Лингвистика,"клх Домодедово, пер. Индустриальный, д. 67 стр. 9, 088623",+70289158548
София Евгеньевна Михеева,2024,Целевая,49,8.2,131.0,Психология,"д. Самара, пер. Волгоградский, д. 61 к. 735, 231399",85225867582
Ия Семеновна Королева,2025,Целевая,51,7.8,129.0,Психология,"ст. Егорьевск, ш. Больничное, д. 349 стр. 160, 806374",8 (202) 943-8259
тов. Данилова Синклитикия Феликсовна,2021,Бюджет,45,7.8,123.0,Журналистика,"к. Сарапул, пер. Володарского, д. 240 стр. 3, 134852",8 (953) 370-7266
Красильникова Мария Рубеновна,2022,Платная,53,9.4,147.0,Юриспруденция,"ст. Гремячинск (Бурят.), пер. Весенний, д. 5 к. 3, 968157",+7 (917) 465-90-23
Алина Петровна Шашкова,2021,Целевая,35,7.7,112.0,Медицина,"д. Североморск, ш. Жукова, д. 656 к. 94, 074720",+7 (310) 189-82-37
Ростислав Гурьевич Киселев,2023,Целевая,40,8.3,123.0,Дизайн,"п. Чайковский, пер. Новоселов, д. 5, 930273",+7 858 322 93 50
Терентьева Елизавета Михайловна,2022,Целевая,46,7.7,123.0,Экономика,"ст. Горячий Ключ, пер. Красногвардейский, д. 5/2 к. 4/8, 715644",+73437062802
Осипов Добромысл Игнатьевич,2023,Бюджет,58,6.9,127.0,Дизайн,"клх Кировск (Мурм.), ул. Учительская, д. 4, 936235",8 (068) 936-55-16
Орлов Амос Елизарович,2024,Платная,76,8.8,164.0,Психология,"ст. Чермоз, наб. Ильича, д. 8, 257886",8 266 680 8942
Бирюков Всеслав Виленович,2025,Бюджет,53,7.9,132.0,Информатика и вычислительная техника,"с. Троицк (Моск.), алл. Шмидта, д. 83, 595461",8 398 272 5475
Богдан Герасимович Кулагин,2022,Целевая,68,7.6,144.0,Психология,"к. Анадырь, ул. Мельничная, д. 243, 766423",+7 (397) 385-8328
Надежда Руслановна Воронова,2022,Платная,24,6.8,92.0,Юриспруденция,"с. Лесной (Сверд.), алл. Ореховая, д. 7/4 к. 1/9, 441075",+75266077894
Евсей Витальевич Некрасов,2021,Бюджет,68,5.7,125.0,Юриспруденция,"г. Волхов, бул. Хуторской, д. 6/6 к. 3/7, 192519",8 (656) 089-6701
Гостомысл Васильевич Лазарев,2021,Целевая,24,8.8,112.0,Психология,"г. Фатеж, пер. Титова, д. 360 стр. 859, 371686",8 (920) 849-80-03
Гордеев Аскольд Жанович,2025,Бюджет,66,7.8,144.0,Менеджмент,"п. Мураши, наб. Кузнецкая, д. 708 к. 62, 722419",+7 965 402 3063
Орлова Ия Степановна,2023,Бюджет,43,6.5,108.0,Журналистика,"г. Тулун, пер. Озерный, д. 6, 300686",+74357871352
Тарасова Юлия Даниловна,2022,Платная,43,6.6,109.0,Медицина,"г. Данков, бул. Северный, д. 8 стр. 9/1, 420767",+7 924 779 99 96
Осипов Ульян Юльевич,2023,Бюджет,33,8.5,118.0,Информатика и вычислительная техника,"ст. Новороссийка, пр. Свободы, д. 115 к. 6/1, 851082",80866253938
Ратибор Адамович Лаврентьев,2021,Целевая,58,9.8,156.0,Дизайн,"клх Шуя, ш. 8-е Марта, д. 1/8, 719192",+7 931 499 1926
Наина Кузьминична Мамонтова,2021,Целевая,59,7.2,131.0,Информатика и вычислительная техника,"ст. Троицк (Челяб.), пер. Краснодарский, д. 59 к. 6, 918891",+7 931 336 5871
Соловьев Казимир Елизарович,2021,Платная,73,7.0,143.0,Юриспруденция,"ст. Чайковский, ш. Верхнее, д. 92 к. 9/3, 689845",+7 801 430 94 01
Титова Виктория Макаровна,2024,Бюджет,48,9.5,143.0,Информатика и вычислительная техника,"с. Асбест, пер. Юности, д. 6 стр. 849, 161786",+7 830 857 7588
Моисеев Лавр Адрианович,2022,Бюджет,52,7.1,123.0,Лингвистика,"к. Южно-Сахалинск, пер. Северный, д. 35, 613387",+7 (156) 650-97-13
Рябова Ирина Рудольфовна,2022,Целевая,46,6.9,115.0,Лингвистика,"клх Быково (метеост.), бул. Кубанский, д. 619, 584848",8 714 781 14 37
Гущина Ия Афанасьевна,2025,Платная,58,7.4,132.0,Юриспруденция,"к. Пушкино (Моск.), пер. Киевский, д. 7/6 стр. 76, 087520",+7 916 057 7393
Евгений Валерианович Михайлов,2021,Целевая,56,6.9,125.0,Дизайн,"п. Верхний Баскунчак, бул. Шоссейный, д. 6 стр. 7/6, 175850",+7 (275) 723-52-42
Архипова Милица Анатольевна,2025,Платная,53,7.9,132.0,Психология,"д. Руза, ш. Выгонное, д. 567, 127024",8 (232) 918-6987
Осипов Автоном Марсович,2025,Платная,72,8.7,159.0,Экономика,"г. Кулу, алл. Волочаевская, д. 89 стр. 81, 052249",+7 126 446 4362
Панкратий Юлианович Исаев,2022,Целевая,65,6.7,132.0,Строительство,"клх Юрьев-Польский, пер. Юности, д. 9 к. 2, 377422",+7 571 536 51 57
Лобанова Людмила Евгеньевна,2023,Целевая,32,6.0,92.0,Лингвистика,"г. Воркута, ш. Ивановское, д. 9, 467054",+7 830 564 30 22
Фёкла Романовна Белоусова,2021,Бюджет,63,6.4,127.0,Журналистика,"к. Соликамск, ул. Загородная, д. 7/7 стр. 2/1, 203257",+7 (914) 667-3370
Стрелкова Елена Павловна,2024,Бюджет,54,7.9,133.0,Психология,"к. Рязань, ш. Урицкого, д. 32 к. 1/1, 932106",+7 (832) 773-67-93
Федорова Нинель Федоровна,2023,Бюджет,81,7.7,158.0,Медицина,"п. Сусуман, ул. Красная, д. 1/1 к. 18, 517607",8 000 158 89 02
Аксенова Агафья Юльевна,2025,Целевая,54,7.9,133.0,Информатика и вычислительная техника,"п. Ачинск, алл. Стадионная, д. 71 стр. 833, 602819",+7 (615) 148-28-00
Блинов Парамон Изотович,2021,Бюджет,46,7.5,121.0,Информатика и вычислительная техника,"к. Черусти, бул. Высоцкого, д. 447 стр. 85, 208975",8 (130) 224-41-48
Тимофей Ааронович Кудрявцев,2024,Платная,61,7.9,140.0,Медицина,"г. Шуя, пер. Черноморский, д. 31, 601480",8 (368) 913-80-57
Матвеева Валентина Тарасовна,2024,Платная,51,6.9,120.0,Юриспруденция,"д. Шелагонцы, наб. Шоссейная, д. 44, 947056",8 009 100 8780
Ангелина Георгиевна Шарова,2023,Бюджет,57,7.0,127.0,Экономика,"к. Усть-Катав, бул. Малый, д. 9 к. 780, 152617",8 (807) 713-2033
Пестов Амвросий Денисович,2025,Платная,63,6.6,129.0,Юриспруденция,"ст. Лабытнанги, пр. Ставропольский, д. 7 к. 9, 031425",81775158608
Орлова Прасковья Валентиновна,2021,Платная,61,8.2,143.0,Менеджмент,"г. Диксон, пер. Королева, д. 5, 253662",8 980 475 3049
Всеволод Аверьянович Самсонов,2021,Целевая,41,8.8,129.0,Лингвистика,"п. Мураши, ш. Дарвина, д. 1/4, 724971",8 (916) 981-97-86
Валерий Дорофеевич Беляков,2023,Бюджет,59,8.0,139.0,Медицина,"г. Гремячинск (Перм.), алл. Пожарского, д. 4 стр. 170, 281724",8 173 859 69 40
Ширяева Галина Геннадьевна,2023,Бюджет,29,7.1,100.0,Строительство,"п. Яхрома, пр. Баумана, д. 3 к. 6/8, 523894",+7 (362) 165-72-65
Кондратьева Екатерина Тарасовна,2025,Платная,52,6.9,121.0,Психология,"с. Советский, ш. Прибрежное, д. 749 стр. 391, 255934",+79615585344
Агафон Ермолаевич Зайцев,2023,Платная,77,8.8,165.0,Журналистика,"к. Сосногорск, ш. Кошевого, д. 52 к. 971, 070644",+7 043 570 09 43
Голубева Нинель Тимуровна,2025,Платная,50,7.7,127.0,Журналистика,"клх Соболево, бул. Терешковой, д. 4/3 к. 45, 343577",8 273 493 1227
Колесников Николай Матвеевич,2021,Платная,48,7.1,119.0,Информатика и вычислительная техника,"с. Кулунда, алл. Воровского, д. 9/9 к. 93, 942230",8 (367) 992-97-08
Александр Якубович Веселов,2024,Целевая,33,7.0,103.0,Информатика и вычислительная техника,"ст. Сортавала, пр. Байкальский, д. 1, 849542",+7 204 531 16 60
г-жа Волкова Пелагея Ниловна,2024,Бюджет,68,8.6,154.0,Менеджмент,"ст. Кулунда, ул. Челюскинцев, д. 2 стр. 2/9, 220413",+74597424241
Чернова Майя Евгеньевна,2025,Целевая,59,8.9,148.0,Психология,"ст. Артем, алл. Осипенко, д. 57 к. 5/3, 275658",+74609094689
Глеб Арсеньевич Некрасов,2022,Платная,60,6.5,125.0,Юриспруденция,"г. Миллерово, алл. Специалистов, д. 7/2 стр. 729, 534686",8 679 338 6225
Олег Артёмович Одинцов,2021,Целевая,35,5.8,93.0,Лингвистика,"клх Бирск, пер. Автомобилистов, д. 1 стр. 3/8, 874849",8 914 586 4494
Анжела Константиновна Князева,2023,Бюджет,54,8.6,140.0,Журналистика,"к. Морозовск, наб. Красноярская, д. 83 к. 2/3, 736530",+7 612 121 3421
Павлова Татьяна Матвеевна,2021,Целевая,47,9.5,142.0,Медицина,"г. Апшеронск, бул. Воронежский, д. 2/7 стр. 168, 885617",8 (348) 836-5967
Моисеев Ефрем Андреевич,2022,Целевая,84,7.0,154.0,Экономика,"клх Зеленогорск (Ленин.), бул. Надежды, д. 7/5, 878824",8 831 811 2411
Данилов Егор Гаврилович,2025,Целевая,48,6.1,109.0,Дизайн,"ст. Каспийск, пер. Дружбы, д. 4/1 к. 7, 314160",8 (281) 254-43-33
Виноградова Марина Львовна,2024,Целевая,56,7.1,127.0,Экономика,"клх Казань, алл. Раздольная, д. 777, 043203",+7 (762) 887-74-38
Фадей Харлампьевич Панов,2022,Целевая,65,9.4,159.0,Психология,"г. Октябрьское (Хант.), ш. Олимпийское, д. 5/2, 954150",+7 (276) 824-46-41
Доброслав Филатович Ларионов,2023,Целевая,47,7.2,119.0,Менеджмент,"г. Усть-Ордынский, алл. Гражданская, д. 57, 876299",+7 (183) 155-76-77
Анжела Яковлевна Захарова,2022,Целевая,41,8.0,121.0,Информатика и вычислительная техника,"клх Дубна, пр. Энергетиков, д. 4/3 стр. 4/4, 647898",8 (715) 661-3490
Фадеева Октябрина Геннадиевна,2023,Бюджет,86,7.3,159.0,Лингвистика,"к. Киренск, наб. Машиностроителей, д. 50, 497911",82705231327
Игнатьева Эмилия Игоревна,2021,Целевая,42,6.9,111.0,Психология,"д. Курск, бул. Ивановский, д. 4/9 к. 14, 819595",8 941 885 85 81
Герасимов Митофан Андреевич,2021,Целевая,51,7.3,124.0,Дизайн,"п. Чебаркуль, наб. Трудовая, д. 2/7 стр. 7, 571747",89070027529
Ким Федотович Дорофеев,2022,Бюджет,76,7.5,151.0,Юриспруденция,"ст. Домодедово, пер. Отрадный, д. 2 стр. 9/4, 784867",8 (200) 172-2124
тов. Миронов Гордей Вячеславович,2021,Бюджет,30,6.6,96.0,Дизайн,"клх Чулым, бул. Солнечный, д. 98 стр. 2, 233878",85815749077
Наина Алексеевна Носкова,2025,Бюджет,47,7.6,123.0,Дизайн,"п. Серафимович, ш. Таманское, д. 9/9, 449634",+7 331 516 30 62
Савина Иванна Кирилловна,2021,Платная,41,9.6,137.0,Юриспруденция,"клх Агинское (Забайк.), бул. Космический, д. 80 к. 170, 156689",8 753 886 8276
Натан Анисимович Корнилов,2022,Целевая,62,8.8,150.0,Дизайн,"г. Новосибирск, наб. Горная, д. 88 к. 7, 312972",+7 (099) 978-4322
Иван Брониславович Исаков,2021,Бюджет,42,6.9,111.0,Строительство,"д. Туруханск, ш. Социалистическое, д. 418 к. 245, 618794",+7 778 935 23 32
Вишнякова Полина Вениаминовна,2023,Целевая,43,9.0,133.0,Психология,"г. Сунтар, алл. Энгельса, д. 9/3 к. 371, 069732",+7 (299) 767-76-74
Миронова Октябрина Станиславовна,2025,Целевая,53,7.0,123.0,Менеджмент,"к. Приморско-Ахтарск, наб. Громова, д. 5 стр. 97, 184222",80862941715
г-жа Ермакова Октябрина Валериевна,2024,Бюджет,41,7.5,116.0,Журналистика,"г. Егорьевск, алл. Громова, д. 984 к. 1, 759468",81436436377
Медведева Марфа Макаровна,2021,Бюджет,64,8.5,149.0,Юриспруденция,"к. Шатура, пер. Щербакова, д. 40 стр. 5/1, 569845",8 366 757 72 23
Фаина Станиславовна Герасимова,2022,Целевая,72,7.4,146.0,Лингвистика,"г. Гремячинск (Бурят.), алл. 9 мая, д. 60 к. 7/2, 646374",8 (342) 989-73-59
тов. Новикова Милица Дмитриевна,2023,Платная,39,7.5,114.0,Журналистика,"с. Жуковский, пер. Прудный, д. 792, 186613",+7 003 262 7038
Олимпий Ерофеевич Воронцов,2023,Бюджет,34,7.8,112.0,Экономика,"ст. Горно-Алтайск, бул. Слободской, д. 33 стр. 3, 042991",+7 728 398 7148
Киселев Ким Трифонович,2024,Платная,45,9.1,136.0,Информатика и вычислительная техника,"п. Норильск, алл. Маяковского, д. 1, 357944",8 (222) 345-4314
Фёкла Филипповна Турова,2021,Платная,49,7.5,124.0,Строительство,"ст. Тосно, алл. Харьковская, д. 934 стр. 1, 616342",+71399057507
Лора Оскаровна Шарапова,2023,Платная,49,8.3,132.0,Медицина,"п. Элиста, ул. Лазо, д. 998 к. 21, 852492",8 847 599 83 32
Веселова Нинель Святославовна,2022,Целевая,41,8.9,130.0,Информатика и вычислительная техника,"д. Октябрьское (Челяб.), пр. Победы, д. 69 стр. 76, 619767",88543476789
Волкова Милица Филипповна,2022,Бюджет,32,8.4,116.0,Журналистика,"с. Старый Оскол, наб. Гастелло, д. 103 к. 8, 748025",81097505397
Орехов Максим Георгиевич,2025,Целевая,70,6.1,131.0,Менеджмент,"к. Гудермес, алл. 50 лет Октября, д. 5, 444528",8 (242) 692-1967
Ия Ефимовна Мартынова,2022,Целевая,58,7.6,134.0,Журналистика,"клх Холмск, ул. Циолковского, д. 84 к. 928, 282206",+7 (878) 372-24-00
Изяслав Эдгардович Котов,2024,Бюджет,46,5.8,104.0,Психология,"ст. Кемерово, бул. Черноморский, д. 2, 582661",+7 369 711 30 69
Майя Дмитриевна Мишина,2024,Платная,76,8.1,157.0,Лингвистика,"г. Волоколамск, наб. Покровская, д. 36 к. 789, 687335",+7 (783) 659-06-62
Князев Порфирий Иосипович,2025,Целевая,62,7.5,137.0,Информатика и вычислительная техника,"п. Грозный, пер. Тупиковый, д. 7/8 стр. 97, 599600",8 (266) 215-58-88
г-жа Афанасьева Екатерина Григорьевна,2025,Платная,74,6.9,143.0,Экономика,"ст. Богучар, ул. Водопроводная, д. 5/7 стр. 834, 996314",8 (897) 219-7511
Фирс Ерофеевич Панов,2024,Бюджет,52,8.9,141.0,Журналистика,"с. Яр-Сале, пер. Морозова, д. 91 стр. 6, 493688",8 952 317 49 67
Маслов Ананий Адрианович,2022,Платная,65,5.8,123.0,Психология,"клх Мокшан, ул. Кутузова, д. 2/5 стр. 309, 812032",8 662 887 20 84
Прасковья Владиславовна Лебедева,2021,Целевая,40,7.5,115.0,Экономика,"ст. Североуральск, ш. Марта 8, д. 224 стр. 112, 056957",83690033340
Гаврилова Варвара Алексеевна,2023,Бюджет,62,7.8,140.0,Медицина,"с. Кострома, наб. Садовая, д. 7 стр. 2/5, 809194",8 (467) 670-1121
Горшкова Юлия Архиповна,2024,Целевая,44,9.1,135.0,Строительство,"п. Кулунда, пр. Прудный, д. 105, 657457",8 731 197 81 74
Беляева Анастасия Вячеславовна,2023,Целевая,47,9.0,137.0,Лингвистика,"к. Холмогоры, ш. Железнодорожное, д. 3, 243526",+7 149 919 08 08
Фадей Фомич Кудрявцев,2025,Бюджет,32,8.1,113.0,Журналистика,"г. Певек, ул. Весенняя, д. 6/4 к. 4, 291466",+7 (435) 392-88-17
Фомичева Таисия Ефимовна,2025,Платная,55,6.7,122.0,Дизайн,"к. Кашира, бул. Кутузова, д. 619 к. 2, 091981",85972962097
Иванна Анатольевна Савина,2021,Целевая,53,8.3,136.0,Строительство,"ст. Октябрьское (Челяб.), ш. Рылеева, д. 8 к. 8/2, 966637",83114385516
Родион Харлампович Кудрявцев,2022,Бюджет,56,8.1,137.0,Психология,"с. Бреды, бул. Калужский, д. 742 к. 1/8, 675988",+7 (109) 345-99-76
тов. Харитонов Демид Богданович,2025,Бюджет,38,7.5,113.0,Лингвистика,"к. Котлас, пер. Новгородский, д. 8/3, 477006",+7 (208) 855-17-74
Ерофей Евстигнеевич Князев,2024,Платная,25,7.1,96.0,Строительство,"г. Приозерск, наб. Гончарова, д. 4/1 стр. 9, 812357",+7 252 417 59 14
Лукия Валентиновна Соколова,2024,Платная,66,7.4,140.0,Экономика,"к. Яр-Сале, бул. Толстого, д. 528 стр. 5/7, 602574",+71049179809
Фока Дмитриевич Киселев,2021,Бюджет,67,7.5,142.0,Дизайн,"д. Орск, бул. Мелиораторов, д. 51, 698597",+7 134 954 5312
Игнатов Ким Васильевич,2025,Бюджет,56,8.3,139.0,Лингвистика,"п. Видное, пр. 70 лет Октября, д. 61 стр. 344, 326807",+77230005877
Валентина Леонидовна Ковалева,2025,Целевая,46,6.2,108.0,Дизайн,"д. Белоярский, наб. Тупиковая, д. 755 к. 4/7, 116396",+7 985 233 74 82
Киселева Полина Артемовна,2021,Платная,69,7.8,147.0,Информатика и вычислительная техника,"ст. Урай, алл. Веселая, д. 414 стр. 779, 766484",+7 (350) 482-6464
Горбачев Зосима Ануфриевич,2021,Бюджет,62,8.4,146.0,Экономика,"с. Орехово-Зуево, пр. Производственный, д. 6/9 стр. 475, 139739",+7 (277) 197-44-10
Гаврилова Ия Владимировна,2021,Бюджет,35,6.8,103.0,Экономика,"клх Ишим, наб. Коллективная, д. 4/4 к. 2/1, 284947",+7 (142) 230-07-13
Самсон Филимонович Самсонов,2021,Платная,63,7.8,141.0,Лингвистика,"клх Вологда, пр. Астраханский, д. 3/3, 380005",+7 (221) 957-63-67
Адриан Исидорович Брагин,2022,Целевая,48,6.5,113.0,Журналистика,"ст. Охотск, алл. Кольцевая, д. 3/2, 401424",8 (075) 015-52-50
Фёкла Захаровна Жданова,2021,Бюджет,51,7.2,123.0,Лингвистика,"к. Ачинск, наб. Лермонтова, д. 6/4 стр. 7/1, 526420",+7 071 478 11 76
Анна Сергеевна Куликова,2024,Целевая,31,6.3,94.0,Строительство,"д. Мыс Шмидта, наб. Ульяновская, д. 62 стр. 2, 787906",8 378 560 24 09
Костина Елена Руслановна,2025,Бюджет,73,8.3,156.0,Лингвистика,"клх Гагарин, наб. Труда, д. 6, 867332",8 (755) 272-2333
Евдокия Тимуровна Тимофеева,2021,Платная,52,6.5,117.0,Менеджмент,"к. Хасан, пр. Ключевой, д. 8/3, 391561",8 (537) 699-9585
Феофан Эдуардович Третьяков,2022,Целевая,60,7.9,139.0,Лингвистика,"п. Жигулевск, наб. Снежная, д. 24 стр. 1/2, 571919",82438144138
Осипов Федот Валерьянович,2024,Бюджет,57,7.7,134.0,Медицина,"п. Мокшан, бул. Парижской Коммуны, д. 2/5 к. 1, 561658",+7 815 666 5904
Федоров Болеслав Дмитриевич,2025,Целевая,50,7.7,127.0,Лингвистика,"клх Тамбов, бул. Зеленый, д. 794 стр. 400, 365982",8 (677) 914-6036
Михаил Феофанович Павлов,2022,Платная,74,7.6,150.0,Лингвистика,"клх Алагир, ш. Культуры, д. 8 к. 3/7, 637159",+73505683116
Алевтина Тимуровна Доронина,2021,Бюджет,32,8.1,113.0,Лингвистика,"к. Дубна, ш. Дальнее, д. 16 стр. 6/8, 202849",+73097676164
Горшкова Нонна Яковлевна,2023,Бюджет,72,7.7,149.0,Строительство,"ст. Лабытнанги, наб. Совхозная, д. 6/7, 314569",8 276 298 38 83
Эрнест Матвеевич Селезнев,2022,Целевая,66,7.2,138.0,Дизайн,"клх Арсеньев, наб. 8-е Марта, д. 495, 156925",8 780 057 6209
Марина Антоновна Виноградова,2024,Платная,34,7.9,113.0,Юриспруденция,"к. Ханты-Мансийск, пер. Димитрова, д. 2, 732194",8 (386) 474-16-39
Симон Демидович Шилов,2021,Целевая,41,6.1,102.0,Дизайн,"с. Глазов, пр. Бабушкина, д. 8/6, 312825",8 (392) 676-48-46
